loyalty_number,loyalty_card,education,gender,total_flights_lifetime,total_distance_km,total_points_earned,total_points_used,avg_salary,total_activity_periods
726065,Star,Bachelor,Female,45,57451,57451.0,406,59169.0,24
628211,Nova,Bachelor,Female,57,82775,82775.0,885,92259.0,24
882590,Nova,Bachelor,Female,45,64755,64755.0,2919,48166.0,24
695686,Star,Bachelor,Male,41,57755,57755.0,538,73492.0,24
380526,Nova,Bachelor,Male,39,59089,59089.0,1837,48985.0,24
267020,Nova,Bachelor,Male,34,66356,66356.0,612,78372.0,24
329364,Star,Bachelor,Male,57,87332,87332.0,1405,90839.0,24
438383,Aurora,Master,Female,23,36312,36312.0,0,123546.0,24
155253,Aurora,Bachelor,Male,15,22163,22163.0,1309,75158.0,24
543599,Aurora,College,Female,0,0,0.0,0,73262.0,24
192013,Star,High School Or Below,Female,34,56032,56032.0,2170,59332.0,24
493358,Aurora,College,Male,25,31160,31160.0,795,73262.0,24
210630,Nova,College,Female,46,69702,69702.0,1735,73262.0,24
881001,Nova,College,Male,25,36828,36828.0,2024,73262.0,24
230070,Star,Master,Male,5,6398,6398.0,0,75891.0,24
332027,Aurora,College,Male,30,54275,54275.0,0,73262.0,24
615251,Nova,College,Female,41,73534,73534.0,899,73262.0,24
812894,Nova,College,Female,30,48421,48421.0,443,73262.0,24
541961,Nova,College,Male,51,102816,102816.0,458,73262.0,24
743320,Nova,College,Male,0,0,0.0,0,73262.0,24
187010,Star,College,Female,55,47269,69591.0,0,73262.0,11
772437,Star,Bachelor,Female,38,66729,66729.0,694,90071.0,24
410552,Star,Bachelor,Female,32,42159,42159.0,456,70532.0,24
274211,Nova,Bachelor,Male,31,38078,38078.0,503,96572.0,24
583415,Aurora,Bachelor,Female,41,65882,65882.0,0,99347.0,24
174743,Star,Bachelor,Male,33,58189,58189.0,1297,50800.0,24
570668,Aurora,Bachelor,Male,0,0,0.0,0,80543.0,24
122206,Nova,Bachelor,Female,0,0,0.0,0,68546.0,24
571760,Nova,Bachelor,Female,39,52839,52839.0,527,52693.0,24
420204,Star,Bachelor,Female,28,38436,38436.0,1583,86920.0,24
870857,Nova,Bachelor,Female,55,79114,79114.0,1277,54231.0,24
244419,Nova,College,Female,74,115009,162663.0,0,73262.0,11
293663,Nova,Bachelor,Male,6,10371,10371.0,0,85263.0,24
222065,Nova,Doctor,Male,45,62819,62819.0,423,85511.0,24
366687,Nova,Bachelor,Female,33,61676,61676.0,1733,48021.0,24
967966,Nova,Bachelor,Female,38,60261,60261.0,0,89781.0,24
768113,Nova,College,Male,46,61921,61921.0,1168,73262.0,24
298156,Nova,Bachelor,Male,3,2529,2529.0,0,75990.0,24
118379,Nova,Bachelor,Female,27,38304,38304.0,0,51923.0,24
889569,Aurora,Bachelor,Male,46,73732,73732.0,2557,73779.0,24
569313,Nova,Bachelor,Male,41,76518,76518.0,1915,56348.0,24
119690,Star,Bachelor,Female,0,0,0.0,0,72225.0,24
899760,Aurora,College,Female,57,84394,84394.0,519,73262.0,24
295578,Star,College,Male,51,51534,51534.0,426,73262.0,24
